variavel,vif
diesel_usd_gal,45.04710739730526
gasolina_usd_gal,37.38056411277563
eletricidade_usd_kwh,15.579710941724654
tendencia,12.463119327440575
mes_6,2.1504919398288678
mes_7,2.075711620219767
mes_8,2.0326151326882513
mes_5,2.0066799372008965
mes_9,1.9758932406115628
mes_4,1.928851184207684
mes_3,1.8839247111451334
mes_10,1.8551090839139999
lag_12,1.8526850806740853
mes_12,1.8441697068446556
mes_11,1.8424113248674878
mes_2,1.8388603372047372
lag_1,1.6917027308899022
