variavel,incremento_mae_permutacao,desvio_mae_permutacao
fuelType1,11.921413816545593,0.18014309952674804
atvType,10.132569904279196,0.16704170124845433
trany,2.0067697610051973,0.054088001856641095
VClass,1.8307289234991062,0.0781151465988523
drive,1.441215498103748,0.04661688721357597
cylinders,1.0303450812680597,0.03764339023925364
displ,0.7248853283006498,0.04020515297179724
startStop,0.506447873703618,0.03855329850905918
year,0.011495020596676842,0.007090756089039875
tCharger,0.0,0.0
sCharger,0.0,0.0
