variavel,coeficiente_padronizado,p_valor
const,15.776238946860351,1.2510946552271695e-246
lag_1,1.715110074186054,7.117735466023785e-90
mes_7,0.29236859028576967,0.24163528021711997
mes_12,0.2742525506905533,0.24390557996575035
mes_8,0.2624497814000524,0.2880732325350404
diesel_usd_gal,-0.259129574860132,0.4176544623319007
mes_10,0.2322463391302083,0.325035777088721
mes_5,0.2194017239826982,0.3641738317410547
mes_2,0.20819528255359998,0.3754824454636082
tendencia,0.1680942945379692,0.3176445834526973
gasolina_usd_gal,0.14562568513069177,0.6169608662386085
mes_3,0.14469968290604787,0.5366659620260255
lag_12,0.1257936331413437,0.052895778429012254
mes_6,0.12306002600962174,0.6228130559502394
mes_11,0.11047854722164625,0.6383362432544512
eletricidade_usd_kwh,-0.09096768612959373,0.6284151980493723
mes_9,0.03692017001819517,0.8794246487597546
mes_4,0.034796163999294194,0.8832297912804888
