powertrain,configuracoes,mae,mediana_erro
Elétrico a bateria,782,10.686925352571418,8.618176776403644
Célula a combustível,6,2.725717044503424,2.57120156391197
Híbrido plug-in,104,2.5914876619971987,2.1033511651869716
Híbrido,537,2.5594918468232977,2.023042587041715
Combustão,1354,1.5863465785365995,1.2847027035759986
Diesel,36,1.121220096997976,1.1492664323911725
